year,city,country,city_avg_temp,city_9yr_moving_avg,global_avg_temp,global_9yr_moving_avg
1796,Bangalore,India,24.49,,8.27,
1797,Bangalore,India,25.18,,8.51,
1798,Bangalore,India,24.65,,8.67,
1799,Bangalore,India,24.81,,8.51,
1800,Bangalore,India,24.85,,8.48,
1801,Bangalore,India,24.49,,8.59,
1802,Bangalore,India,25.44,,8.58,
1803,Bangalore,India,25.22,,8.5,
1804,Bangalore,India,25.67,24.977777777777778,8.84,8.55
1805,Bangalore,India,25.01,25.035555555555554,8.56,8.582222222222223
1806,Bangalore,India,24.87,25.00111111111111,8.43,8.573333333333334
1807,Bangalore,India,24.25,24.956666666666663,8.28,8.530000000000001
1808,Bangalore,India,24.85308056872037,24.961453396524483,7.63,8.432222222222222
1809,Bangalore,India,24.85308056872037,24.961795681937858,7.08,8.276666666666666
1810,Bangalore,India,24.85308056872037,25.00213796735123,6.92,8.091111111111111
1811,Bangalore,India,24.85308056872037,24.93692469720905,6.86,7.8999999999999995
1812,Bangalore,India,24.85308056872037,24.896155871511315,7.05,7.738888888888888
1813,Bangalore,India,24.23,24.736155871511315,7.74,7.6166666666666645
1814,Bangalore,India,23.91,24.61393364928909,7.59,7.508888888888887
1815,Bangalore,India,23.79,24.49393364928909,7.24,7.376666666666665
1816,Bangalore,India,23.3,24.388378093733536,6.94,7.227777777777776
1817,Bangalore,India,23.6,24.249146919431272,6.98,7.155555555555555
1818,Bangalore,India,23.94,24.147693522906785,7.83,7.238888888888888
1819,Bangalore,India,23.86,24.03735123749341,7.37,7.288888888888888
1820,Bangalore,India,23.91,23.93256450763559,7.62,7.373333333333333
1821,Bangalore,India,24.4,23.882222222222214,8.09,7.48888888888889
1822,Bangalore,India,24.33,23.893333333333327,8.19,7.53888888888889
1823,Bangalore,India,24.62,23.972222222222214,7.72,7.553333333333334
1824,Bangalore,India,25.1,24.11777777777777,8.55,7.69888888888889
1825,Bangalore,India,24.69,24.272222222222215,8.39,7.860000000000001
1826,Bangalore,India,24.88,24.414444444444438,8.36,8.013333333333334
1827,Bangalore,India,24.67,24.495555555555548,8.81,8.122222222222224
1828,Bangalore,India,24.61,24.57888888888888,8.17,8.211111111111112
1829,Bangalore,India,24.46,24.639999999999993,7.94,8.246666666666666
1830,Bangalore,India,24.39,24.63888888888888,8.52,8.294444444444444
1831,Bangalore,India,24.43,24.64999999999999,7.64,8.233333333333333
1832,Bangalore,India,24.66,24.654444444444433,7.45,8.203333333333333
1833,Bangalore,India,24.46,24.583333333333325,8.01,8.143333333333334
1834,Bangalore,India,24.59,24.572222222222212,8.15,8.116666666666667
1835,Bangalore,India,23.89,24.462222222222213,7.39,8.00888888888889
1836,Bangalore,India,24.12,24.4011111111111,7.7,7.885555555555557
1837,Bangalore,India,24.13,24.347777777777765,7.38,7.797777777777778
